,cat,file,text_sentence_count,text_word_count,summary_sentence_count,summary_word_count,model,rouge_1_p,rouge_1_r,rouge_2_p,rouge_2_r,rouge_L_p,rouge_L_r
0,entertainment,../dataset/NewsArticles/entertainment/289.txt,17,386,7,183,textrank,0.640625,0.7321428571428571,0.5672514619883041,0.6258064516129033,0.6328125,0.7232142857142857
1,entertainment,../dataset/NewsArticles/entertainment/262.txt,41,851,17,441,textrank,0.7071428571428572,0.8284518828451883,0.6480582524271845,0.7437325905292479,0.6964285714285714,0.8158995815899581
2,entertainment,../dataset/NewsArticles/entertainment/276.txt,18,369,8,154,textrank,0.4298245614035088,0.4666666666666667,0.30666666666666664,0.3108108108108108,0.4298245614035088,0.4666666666666667
3,entertainment,../dataset/NewsArticles/entertainment/060.txt,9,184,7,157,textrank,0.49074074074074076,0.8833333333333333,0.4027777777777778,0.8055555555555556,0.49074074074074076,0.8833333333333333
4,entertainment,../dataset/NewsArticles/entertainment/074.txt,14,269,9,198,textrank,0.5539568345323741,0.8020833333333334,0.5111111111111111,0.7244094488188977,0.5539568345323741,0.8020833333333334
5,entertainment,../dataset/NewsArticles/entertainment/048.txt,13,344,6,175,textrank,0.29914529914529914,0.3763440860215054,0.21341463414634146,0.2713178294573643,0.28205128205128205,0.3548387096774194
6,entertainment,../dataset/NewsArticles/entertainment/114.txt,13,253,6,107,textrank,0.4146341463414634,0.3953488372093023,0.19230769230769232,0.18018018018018017,0.4024390243902439,0.38372093023255816
7,entertainment,../dataset/NewsArticles/entertainment/100.txt,14,339,14,339,textrank,0.5,0.9905660377358491,0.42443729903536975,0.9565217391304348,0.5,0.9905660377358491
8,entertainment,../dataset/NewsArticles/entertainment/128.txt,10,220,4,95,textrank,0.6615384615384615,0.6417910447761194,0.550561797752809,0.5632183908045977,0.6461538461538462,0.6268656716417911
9,entertainment,../dataset/NewsArticles/entertainment/316.txt,23,540,10,260,textrank,0.47802197802197804,0.6,0.3684210526315789,0.4789473684210526,0.4725274725274725,0.593103448275862
10,entertainment,../dataset/NewsArticles/entertainment/302.txt,9,182,4,100,textrank,0.6923076923076923,0.7894736842105263,0.6451612903225806,0.7407407407407407,0.6923076923076923,0.7894736842105263
11,entertainment,../dataset/NewsArticles/entertainment/303.txt,18,436,8,225,textrank,0.9923664122137404,1.0,0.9552238805970149,0.9696969696969697,0.9923664122137404,1.0
12,entertainment,../dataset/NewsArticles/entertainment/317.txt,8,182,4,93,textrank,0.5833333333333334,0.5753424657534246,0.42528735632183906,0.4567901234567901,0.5833333333333334,0.5753424657534246
13,entertainment,../dataset/NewsArticles/entertainment/129.txt,11,263,5,104,textrank,0.875,0.8076923076923077,0.8043478260869565,0.7708333333333334,0.875,0.8076923076923077
14,entertainment,../dataset/NewsArticles/entertainment/101.txt,14,312,6,124,textrank,0.7078651685393258,0.6774193548387096,0.6068376068376068,0.5916666666666667,0.7078651685393258,0.6774193548387096
15,entertainment,../dataset/NewsArticles/entertainment/115.txt,14,276,6,133,textrank,0.6736842105263158,0.6881720430107527,0.5433070866141733,0.5655737704918032,0.6526315789473685,0.6666666666666666
16,entertainment,../dataset/NewsArticles/entertainment/049.txt,13,285,10,234,textrank,0.6687898089171974,0.9905660377358491,0.6355140186915887,0.9645390070921985,0.6687898089171974,0.9905660377358491
17,entertainment,../dataset/NewsArticles/entertainment/075.txt,17,356,7,141,textrank,0.6388888888888888,0.6699029126213593,0.5303030303030303,0.5303030303030303,0.6296296296296297,0.6601941747572816
18,entertainment,../dataset/NewsArticles/entertainment/061.txt,33,752,14,443,textrank,0.7250996015936255,0.8235294117647058,0.6813725490196079,0.7473118279569892,0.7250996015936255,0.8235294117647058
19,entertainment,../dataset/NewsArticles/entertainment/277.txt,12,244,5,116,textrank,0.6973684210526315,0.7162162162162162,0.6857142857142857,0.72,0.6973684210526315,0.7162162162162162
20,entertainment,../dataset/NewsArticles/entertainment/263.txt,22,606,9,307,textrank,0.6487804878048781,0.7471910112359551,0.5659722222222222,0.6791666666666667,0.6390243902439025,0.7359550561797753
21,entertainment,../dataset/NewsArticles/entertainment/288.txt,17,376,7,188,textrank,0.6850393700787402,0.7131147540983607,0.6101694915254238,0.6467065868263473,0.6850393700787402,0.7131147540983607
22,entertainment,../dataset/NewsArticles/entertainment/275.txt,17,643,6,418,textrank,0.9267015706806283,0.8719211822660099,0.8773006134969326,0.8511904761904762,0.9214659685863874,0.8669950738916257
23,entertainment,../dataset/NewsArticles/entertainment/261.txt,11,263,5,104,textrank,0.875,0.8076923076923077,0.8043478260869565,0.7708333333333334,0.875,0.8076923076923077
24,entertainment,../dataset/NewsArticles/entertainment/249.txt,7,151,3,65,textrank,0.37735849056603776,0.40816326530612246,0.2459016393442623,0.2542372881355932,0.33962264150943394,0.3673469387755102
25,entertainment,../dataset/NewsArticles/entertainment/088.txt,14,269,9,198,textrank,0.5539568345323741,0.8020833333333334,0.5111111111111111,0.7244094488188977,0.5539568345323741,0.8020833333333334
26,entertainment,../dataset/NewsArticles/entertainment/077.txt,19,350,8,176,textrank,0.5348837209302325,0.6571428571428571,0.4397590361445783,0.4866666666666667,0.5348837209302325,0.6571428571428571
27,entertainment,../dataset/NewsArticles/entertainment/063.txt,14,327,6,172,textrank,0.592,0.8505747126436781,0.573170731707317,0.7768595041322314,0.584,0.8390804597701149
28,entertainment,../dataset/NewsArticles/entertainment/103.txt,17,393,7,159,textrank,0.7368421052631579,0.8235294117647058,0.6923076923076923,0.75,0.7368421052631579,0.8235294117647058
29,entertainment,../dataset/NewsArticles/entertainment/117.txt,13,313,6,163,textrank,0.8,0.865979381443299,0.7608695652173914,0.8267716535433071,0.8,0.865979381443299
30,entertainment,../dataset/NewsArticles/entertainment/301.txt,14,295,6,149,textrank,0.5412844036697247,0.5841584158415841,0.44366197183098594,0.5080645161290323,0.5321100917431193,0.5742574257425742
31,entertainment,../dataset/NewsArticles/entertainment/315.txt,20,306,8,134,textrank,0.5730337078651685,0.49038461538461536,0.38461538461538464,0.3237410071942446,0.5617977528089888,0.4807692307692308
32,entertainment,../dataset/NewsArticles/entertainment/329.txt,13,252,6,139,textrank,0.6732673267326733,0.7816091954022989,0.5905511811023622,0.7075471698113207,0.6633663366336634,0.7701149425287356
33,entertainment,../dataset/NewsArticles/entertainment/328.txt,15,337,6,163,textrank,0.9782608695652174,0.989010989010989,0.9485294117647058,0.9772727272727273,0.9782608695652174,0.989010989010989
34,entertainment,../dataset/NewsArticles/entertainment/314.txt,52,1061,22,588,textrank,0.5373563218390804,0.677536231884058,0.42105263157894735,0.5617433414043583,0.5258620689655172,0.6630434782608695
35,entertainment,../dataset/NewsArticles/entertainment/300.txt,28,510,12,254,textrank,0.4585635359116022,0.535483870967742,0.3673469387755102,0.4017857142857143,0.4530386740331492,0.5290322580645161
