,cat,file,text_sentence_count,text_word_count,summary_sentence_count,summary_word_count,model,rouge_1_p,rouge_1_r,rouge_2_p,rouge_2_r,rouge_L_p,rouge_L_r
0,politics,../dataset/NewsArticles/politics/289.txt,18,433,8,195,textrank,0.5703125,0.6293103448275862,0.483695652173913,0.5085714285714286,0.5703125,0.6293103448275862
1,politics,../dataset/NewsArticles/politics/262.txt,24,507,10,244,textrank,0.82,0.8848920863309353,0.8018018018018018,0.8516746411483254,0.82,0.8848920863309353
2,politics,../dataset/NewsArticles/politics/276.txt,22,474,9,240,textrank,0.5033112582781457,0.6129032258064516,0.40358744394618834,0.4945054945054945,0.48344370860927155,0.5887096774193549
3,politics,../dataset/NewsArticles/politics/060.txt,18,459,7,233,textrank,0.5806451612903226,0.7964601769911505,0.4727272727272727,0.6303030303030303,0.5741935483870968,0.7876106194690266
4,politics,../dataset/NewsArticles/politics/074.txt,11,206,5,104,textrank,0.676923076923077,0.7213114754098361,0.5268817204301075,0.5833333333333334,0.676923076923077,0.7213114754098361
5,politics,../dataset/NewsArticles/politics/048.txt,21,529,9,265,textrank,0.6125,0.6712328767123288,0.5341365461847389,0.588495575221239,0.6125,0.6712328767123288
6,politics,../dataset/NewsArticles/politics/114.txt,13,304,6,146,textrank,0.4659090909090909,0.4939759036144578,0.3115942028985507,0.35833333333333334,0.4659090909090909,0.4939759036144578
7,politics,../dataset/NewsArticles/politics/100.txt,29,622,12,317,textrank,0.5524861878453039,0.6289308176100629,0.4236111111111111,0.48031496062992124,0.5303867403314917,0.6037735849056604
8,politics,../dataset/NewsArticles/politics/128.txt,31,638,16,393,textrank,0.6440677966101694,0.8128342245989305,0.5824175824175825,0.762589928057554,0.6440677966101694,0.8128342245989305
9,politics,../dataset/NewsArticles/politics/316.txt,23,428,10,250,textrank,0.76875,0.8541666666666666,0.6739130434782609,0.7828282828282829,0.76875,0.8541666666666666
10,politics,../dataset/NewsArticles/politics/302.txt,20,464,11,279,textrank,0.49707602339181284,0.7522123893805309,0.4426877470355731,0.691358024691358,0.49707602339181284,0.7522123893805309
11,politics,../dataset/NewsArticles/politics/303.txt,27,621,11,282,textrank,0.50625,0.574468085106383,0.43824701195219123,0.4824561403508772,0.5,0.5673758865248227
12,politics,../dataset/NewsArticles/politics/317.txt,21,484,9,243,textrank,0.6708860759493671,0.75177304964539,0.6228070175438597,0.6698113207547169,0.6708860759493671,0.75177304964539
13,politics,../dataset/NewsArticles/politics/129.txt,10,228,4,85,textrank,0.8387096774193549,0.6933333333333334,0.6962025316455697,0.5978260869565217,0.8387096774193549,0.6933333333333334
14,politics,../dataset/NewsArticles/politics/101.txt,26,581,11,305,textrank,0.7988505747126436,0.8580246913580247,0.7536231884057971,0.803088803088803,0.7931034482758621,0.8518518518518519
15,politics,../dataset/NewsArticles/politics/115.txt,24,592,10,310,textrank,0.6218905472636815,0.7183908045977011,0.5374149659863946,0.5939849624060151,0.6019900497512438,0.6954022988505747
16,politics,../dataset/NewsArticles/politics/049.txt,22,491,9,289,textrank,0.5649717514124294,0.6944444444444444,0.4489051094890511,0.5829383886255924,0.559322033898305,0.6875
17,politics,../dataset/NewsArticles/politics/075.txt,16,450,10,298,textrank,0.6432748538011696,0.9243697478991597,0.556390977443609,0.8314606741573034,0.6374269005847953,0.9159663865546218
18,politics,../dataset/NewsArticles/politics/061.txt,17,320,7,140,textrank,0.6796116504854369,0.8045977011494253,0.6102941176470589,0.6484375,0.6796116504854369,0.8045977011494253
19,politics,../dataset/NewsArticles/politics/277.txt,12,298,5,143,textrank,0.8709677419354839,0.8804347826086957,0.7925925925925926,0.823076923076923,0.8709677419354839,0.8804347826086957
