,cat,file,text_sentence_count,text_word_count,summary_sentence_count,summary_word_count,model,rouge_1_p,rouge_1_r,rouge_2_p,rouge_2_r,rouge_L_p,rouge_L_r
0,entertainment,../dataset/NewsArticles/entertainment/289.txt,17,386,8,194,cbow,0.7786259541984732,0.9107142857142857,0.7158469945355191,0.8451612903225807,0.7786259541984732,0.9107142857142857
1,entertainment,../dataset/NewsArticles/entertainment/262.txt,41,851,18,414,cbow,0.8771186440677966,0.8661087866108786,0.8010752688172043,0.83008356545961,0.8771186440677966,0.8661087866108786
2,entertainment,../dataset/NewsArticles/entertainment/276.txt,18,369,9,174,cbow,0.8017241379310345,0.8857142857142857,0.7423312883435583,0.8175675675675675,0.8017241379310345,0.8857142857142857
3,entertainment,../dataset/NewsArticles/entertainment/060.txt,9,184,8,171,cbow,0.5175438596491229,0.9833333333333333,0.44871794871794873,0.9722222222222222,0.5175438596491229,0.9833333333333333
4,entertainment,../dataset/NewsArticles/entertainment/074.txt,14,269,10,220,cbow,0.6418918918918919,0.9895833333333334,0.6069651741293532,0.9606299212598425,0.6418918918918919,0.9895833333333334
5,entertainment,../dataset/NewsArticles/entertainment/048.txt,13,344,7,208,cbow,0.40425531914893614,0.6129032258064516,0.3673469387755102,0.5581395348837209,0.40425531914893614,0.6129032258064516
6,entertainment,../dataset/NewsArticles/entertainment/114.txt,13,253,7,155,cbow,0.7169811320754716,0.8837209302325582,0.6190476190476191,0.8198198198198198,0.7169811320754716,0.8837209302325582
7,entertainment,../dataset/NewsArticles/entertainment/100.txt,14,339,14,339,cbow,0.5,0.9905660377358491,0.42765273311897106,0.9637681159420289,0.5,0.9905660377358491
8,entertainment,../dataset/NewsArticles/entertainment/128.txt,10,220,5,133,cbow,0.6483516483516484,0.8805970149253731,0.5819672131147541,0.8160919540229885,0.6483516483516484,0.8805970149253731
9,entertainment,../dataset/NewsArticles/entertainment/316.txt,23,540,11,252,cbow,0.7261904761904762,0.8413793103448276,0.645021645021645,0.7842105263157895,0.7202380952380952,0.8344827586206897
10,entertainment,../dataset/NewsArticles/entertainment/302.txt,9,182,5,128,cbow,0.5903614457831325,0.8596491228070176,0.5423728813559322,0.7901234567901234,0.5903614457831325,0.8596491228070176
11,entertainment,../dataset/NewsArticles/entertainment/303.txt,18,436,9,246,cbow,0.8714285714285714,0.9384615384615385,0.8127853881278538,0.898989898989899,0.8714285714285714,0.9384615384615385
12,entertainment,../dataset/NewsArticles/entertainment/317.txt,8,182,5,130,cbow,0.4742268041237113,0.6301369863013698,0.36666666666666664,0.5432098765432098,0.4639175257731959,0.6164383561643836
13,entertainment,../dataset/NewsArticles/entertainment/129.txt,11,263,6,118,cbow,0.7183098591549296,0.6538461538461539,0.6,0.625,0.704225352112676,0.6410256410256411
14,entertainment,../dataset/NewsArticles/entertainment/101.txt,14,312,7,146,cbow,0.74,0.7956989247311828,0.6466165413533834,0.7166666666666667,0.74,0.7956989247311828
15,entertainment,../dataset/NewsArticles/entertainment/115.txt,14,276,7,174,cbow,0.5317460317460317,0.7204301075268817,0.4382716049382716,0.5819672131147541,0.5238095238095238,0.7096774193548387
16,entertainment,../dataset/NewsArticles/entertainment/049.txt,13,285,11,253,cbow,0.6521739130434783,0.9905660377358491,0.5991189427312775,0.9645390070921985,0.6521739130434783,0.9905660377358491
17,entertainment,../dataset/NewsArticles/entertainment/075.txt,17,356,8,179,cbow,0.8717948717948718,0.9902912621359223,0.8064516129032258,0.946969696969697,0.8717948717948718,0.9902912621359223
18,entertainment,../dataset/NewsArticles/entertainment/061.txt,33,752,15,445,cbow,0.8200836820083682,0.8868778280542986,0.8,0.8602150537634409,0.8200836820083682,0.8868778280542986
19,entertainment,../dataset/NewsArticles/entertainment/277.txt,12,244,6,145,cbow,0.6020408163265306,0.7972972972972973,0.5303030303030303,0.7,0.6020408163265306,0.7972972972972973
20,entertainment,../dataset/NewsArticles/entertainment/263.txt,22,606,10,270,cbow,0.659217877094972,0.6629213483146067,0.56640625,0.6041666666666666,0.6536312849162011,0.6573033707865169
21,entertainment,../dataset/NewsArticles/entertainment/288.txt,17,376,8,209,cbow,0.9097744360902256,0.9918032786885246,0.851063829787234,0.9580838323353293,0.9097744360902256,0.9918032786885246
22,entertainment,../dataset/NewsArticles/entertainment/275.txt,17,643,6,430,cbow,0.9644670050761421,0.9359605911330049,0.9196428571428571,0.9196428571428571,0.9644670050761421,0.9359605911330049
23,entertainment,../dataset/NewsArticles/entertainment/261.txt,11,263,6,118,cbow,0.7183098591549296,0.6538461538461539,0.6,0.625,0.704225352112676,0.6410256410256411
24,entertainment,../dataset/NewsArticles/entertainment/249.txt,7,151,4,103,cbow,0.3950617283950617,0.6530612244897959,0.32,0.5423728813559322,0.3950617283950617,0.6530612244897959
25,entertainment,../dataset/NewsArticles/entertainment/088.txt,14,269,10,220,cbow,0.6418918918918919,0.9895833333333334,0.6069651741293532,0.9606299212598425,0.6418918918918919,0.9895833333333334
26,entertainment,../dataset/NewsArticles/entertainment/077.txt,19,350,9,197,cbow,0.5611510791366906,0.7428571428571429,0.4756756756756757,0.5866666666666667,0.5467625899280576,0.7238095238095238
27,entertainment,../dataset/NewsArticles/entertainment/063.txt,14,327,7,172,cbow,0.7543859649122807,0.9885057471264368,0.7222222222222222,0.9669421487603306,0.7543859649122807,0.9885057471264368
28,entertainment,../dataset/NewsArticles/entertainment/103.txt,17,393,8,172,cbow,0.9032258064516129,0.9882352941176471,0.8456375838926175,0.9545454545454546,0.9032258064516129,0.9882352941176471
29,entertainment,../dataset/NewsArticles/entertainment/117.txt,13,313,7,181,cbow,0.8407079646017699,0.979381443298969,0.8013245033112583,0.952755905511811,0.8407079646017699,0.979381443298969
30,entertainment,../dataset/NewsArticles/entertainment/301.txt,14,295,7,186,cbow,0.6204379562043796,0.8415841584158416,0.5371428571428571,0.7580645161290323,0.6131386861313869,0.8316831683168316
31,entertainment,../dataset/NewsArticles/entertainment/315.txt,20,306,9,179,cbow,0.8407079646017699,0.9134615384615384,0.76875,0.8848920863309353,0.8407079646017699,0.9134615384615384
32,entertainment,../dataset/NewsArticles/entertainment/329.txt,13,252,7,165,cbow,0.7068965517241379,0.9425287356321839,0.6225165562913907,0.8867924528301887,0.6982758620689655,0.9310344827586207
33,entertainment,../dataset/NewsArticles/entertainment/328.txt,15,337,7,178,cbow,0.9278350515463918,0.989010989010989,0.863013698630137,0.9545454545454546,0.9278350515463918,0.989010989010989
34,entertainment,../dataset/NewsArticles/entertainment/314.txt,52,1061,23,588,cbow,0.5806451612903226,0.717391304347826,0.4763636363636364,0.6343825665859564,0.5689149560117303,0.7028985507246377
35,entertainment,../dataset/NewsArticles/entertainment/300.txt,28,510,13,273,cbow,0.6830601092896175,0.8064516129032258,0.6384615384615384,0.7410714285714286,0.6830601092896175,0.8064516129032258
36,entertainment,../dataset/NewsArticles/entertainment/116.txt,10,239,5,150,cbow,0.36607142857142855,0.7884615384615384,0.3076923076923077,0.6984126984126984,0.36607142857142855,0.7884615384615384
37,entertainment,../dataset/NewsArticles/entertainment/102.txt,10,224,5,122,cbow,0.8227848101265823,0.9848484848484849,0.7692307692307693,0.975609756097561,0.8227848101265823,0.9848484848484849
38,entertainment,../dataset/NewsArticles/entertainment/062.txt,13,257,7,141,cbow,0.72,0.8571428571428571,0.6230769230769231,0.7714285714285715,0.72,0.8571428571428571
39,entertainment,../dataset/NewsArticles/entertainment/076.txt,10,240,9,224,cbow,0.4407894736842105,0.9852941176470589,0.375609756097561,0.9506172839506173,0.4407894736842105,0.9852941176470589
40,entertainment,../dataset/NewsArticles/entertainment/089.txt,7,163,4,111,cbow,0.56,0.7777777777777778,0.4803921568627451,0.7313432835820896,0.56,0.7777777777777778
41,entertainment,../dataset/NewsArticles/entertainment/248.txt,23,475,10,255,cbow,0.9754601226993865,0.9875776397515528,0.9369747899159664,0.9570815450643777,0.9754601226993865,0.9875776397515528
42,entertainment,../dataset/NewsArticles/entertainment/260.txt,11,190,6,127,cbow,0.8478260869565217,0.9873417721518988,0.8151260504201681,0.9603960396039604,0.8478260869565217,0.9873417721518988
43,entertainment,../dataset/NewsArticles/entertainment/274.txt,7,187,5,150,cbow,0.7326732673267327,0.9866666666666667,0.6567164179104478,0.967032967032967,0.7326732673267327,0.9866666666666667
44,entertainment,../dataset/NewsArticles/entertainment/258.txt,15,354,7,197,cbow,0.8347107438016529,0.8938053097345132,0.7784090909090909,0.85625,0.8347107438016529,0.8938053097345132
45,entertainment,../dataset/NewsArticles/entertainment/270.txt,11,208,6,134,cbow,0.5172413793103449,0.7627118644067796,0.4016393442622951,0.620253164556962,0.5057471264367817,0.7457627118644068
46,entertainment,../dataset/NewsArticles/entertainment/264.txt,28,590,15,348,cbow,0.8324873096446701,0.9939393939393939,0.777027027027027,0.9426229508196722,0.8324873096446701,0.9939393939393939
47,entertainment,../dataset/NewsArticles/entertainment/099.txt,10,236,4,129,cbow,0.625,0.7692307692307693,0.5210084033613446,0.6526315789473685,0.625,0.7692307692307693
48,entertainment,../dataset/NewsArticles/entertainment/072.txt,14,347,8,231,cbow,0.46987951807228917,0.7959183673469388,0.39819004524886875,0.7394957983193278,0.46987951807228917,0.7959183673469388
49,entertainment,../dataset/NewsArticles/entertainment/066.txt,14,321,12,302,cbow,0.5792349726775956,0.9906542056074766,0.5128205128205128,0.9523809523809523,0.5792349726775956,0.9906542056074766
50,entertainment,../dataset/NewsArticles/entertainment/106.txt,12,215,6,129,cbow,0.8072289156626506,0.9710144927536232,0.7289719626168224,0.9512195121951219,0.8072289156626506,0.9710144927536232
51,entertainment,../dataset/NewsArticles/entertainment/112.txt,9,189,5,123,cbow,0.5921052631578947,0.8490566037735849,0.5277777777777778,0.8142857142857143,0.5921052631578947,0.8490566037735849
52,entertainment,../dataset/NewsArticles/entertainment/338.txt,11,231,11,231,cbow,0.5177304964539007,0.9864864864864865,0.43414634146341463,0.9468085106382979,0.5177304964539007,0.9864864864864865
53,entertainment,../dataset/NewsArticles/entertainment/304.txt,13,254,8,174,cbow,0.616822429906542,0.9428571428571428,0.5576923076923077,0.8877551020408163,0.616822429906542,0.9428571428571428
54,entertainment,../dataset/NewsArticles/entertainment/310.txt,9,182,4,124,cbow,0.45,0.7142857142857143,0.40336134453781514,0.6153846153846154,0.44,0.6984126984126984
55,entertainment,../dataset/NewsArticles/entertainment/311.txt,24,379,11,208,cbow,0.7794117647058824,0.9217391304347826,0.7253886010362695,0.8805031446540881,0.7794117647058824,0.9217391304347826
56,entertainment,../dataset/NewsArticles/entertainment/305.txt,43,731,19,311,cbow,0.648936170212766,0.6892655367231638,0.5563380281690141,0.5895522388059702,0.6436170212765957,0.6836158192090396
57,entertainment,../dataset/NewsArticles/entertainment/339.txt,11,232,6,164,cbow,0.6754385964912281,0.927710843373494,0.5870967741935483,0.883495145631068,0.6754385964912281,0.927710843373494
58,entertainment,../dataset/NewsArticles/entertainment/113.txt,11,256,6,139,cbow,0.5842696629213483,0.6933333333333334,0.5158730158730159,0.6435643564356436,0.5842696629213483,0.6933333333333334
