,cat,file,text_sentence_count,text_word_count,summary_sentence_count,summary_word_count,model,rouge_1_p,rouge_1_r,rouge_2_p,rouge_2_r,rouge_L_p,rouge_L_r
0,politics,../dataset/NewsArticles/politics/289.txt,18,433,9,196,cbow,0.8442622950819673,0.8879310344827587,0.7880434782608695,0.8285714285714286,0.8360655737704918,0.8793103448275862
1,politics,../dataset/NewsArticles/politics/262.txt,24,507,11,300,cbow,0.764367816091954,0.9568345323741008,0.7148148148148148,0.9234449760765551,0.764367816091954,0.9568345323741008
2,politics,../dataset/NewsArticles/politics/276.txt,22,474,10,234,cbow,0.7483443708609272,0.9112903225806451,0.6954545454545454,0.8406593406593407,0.7417218543046358,0.9032258064516129
3,politics,../dataset/NewsArticles/politics/060.txt,18,459,8,180,cbow,0.897196261682243,0.8495575221238938,0.8072289156626506,0.8121212121212121,0.897196261682243,0.8495575221238938
4,politics,../dataset/NewsArticles/politics/074.txt,11,206,6,112,cbow,0.7846153846153846,0.8360655737704918,0.6521739130434783,0.7142857142857143,0.7846153846153846,0.8360655737704918
5,politics,../dataset/NewsArticles/politics/048.txt,21,529,10,278,cbow,0.71875,0.7876712328767124,0.6666666666666666,0.7522123893805309,0.71875,0.7876712328767124
6,politics,../dataset/NewsArticles/politics/114.txt,13,304,7,148,cbow,0.8352941176470589,0.8554216867469879,0.7348484848484849,0.8083333333333333,0.8352941176470589,0.8554216867469879
7,politics,../dataset/NewsArticles/politics/100.txt,29,622,13,325,cbow,0.7630057803468208,0.8301886792452831,0.6898954703832753,0.7795275590551181,0.7572254335260116,0.8238993710691824
8,politics,../dataset/NewsArticles/politics/128.txt,31,638,17,404,cbow,0.7416666666666667,0.9518716577540107,0.6908602150537635,0.9244604316546763,0.7416666666666667,0.9518716577540107
9,politics,../dataset/NewsArticles/politics/316.txt,23,428,11,227,cbow,0.8405797101449275,0.8055555555555556,0.7339901477832512,0.7525252525252525,0.8405797101449275,0.8055555555555556
10,politics,../dataset/NewsArticles/politics/302.txt,20,464,12,291,cbow,0.5783132530120482,0.8495575221238938,0.5210727969348659,0.8395061728395061,0.5783132530120482,0.8495575221238938
11,politics,../dataset/NewsArticles/politics/303.txt,27,621,12,299,cbow,0.7018633540372671,0.8014184397163121,0.65,0.7412280701754386,0.7018633540372671,0.8014184397163121
12,politics,../dataset/NewsArticles/politics/317.txt,21,484,10,233,cbow,0.7552447552447552,0.7659574468085106,0.6761904761904762,0.6698113207547169,0.7482517482517482,0.7588652482269503
13,politics,../dataset/NewsArticles/politics/129.txt,10,228,5,144,cbow,0.6601941747572816,0.9066666666666666,0.5639097744360902,0.8152173913043478,0.6601941747572816,0.9066666666666666
14,politics,../dataset/NewsArticles/politics/101.txt,26,581,12,290,cbow,0.8787878787878788,0.8950617283950617,0.8301886792452831,0.8494208494208494,0.8787878787878788,0.8950617283950617
15,politics,../dataset/NewsArticles/politics/115.txt,24,592,11,324,cbow,0.8518518518518519,0.9252873563218391,0.7871621621621622,0.8759398496240601,0.8465608465608465,0.9195402298850575
16,politics,../dataset/NewsArticles/politics/049.txt,22,491,10,249,cbow,0.8278145695364238,0.8680555555555556,0.7424892703862661,0.8199052132701422,0.8278145695364238,0.8680555555555556
17,politics,../dataset/NewsArticles/politics/075.txt,16,450,11,325,cbow,0.686046511627907,0.9915966386554622,0.5985915492957746,0.9550561797752809,0.686046511627907,0.9915966386554622
